track_id,genres,genres_all
2,[21],[21]
3,[21],[21]
5,[21],[21]
10,[10],[10]
20,"[76, 103]","[17, 10, 76, 103]"
26,"[76, 103]","[17, 10, 76, 103]"
30,"[76, 103]","[17, 10, 76, 103]"
46,"[76, 103]","[17, 10, 76, 103]"
48,"[76, 103]","[17, 10, 76, 103]"
134,[21],[21]
135,"[45, 58]","[58, 12, 45]"
136,"[45, 58]","[58, 12, 45]"
137,"[1, 32]","[32, 1, 38]"
138,"[1, 32]","[32, 1, 38]"
139,[17],[17]
140,[17],[17]
141,[17],[17]
142,[17],[17]
144,[4],[4]
145,[4],[4]
146,[4],[4]
147,[4],[4]
148,[1],"[1, 38]"
149,[1],"[1, 38]"
150,[1],"[1, 38]"
151,[25],"[25, 12]"
152,[25],"[25, 12]"
153,[26],"[26, 12]"
154,[26],"[26, 12]"
155,[26],"[26, 12]"
156,[30],"[38, 30]"
157,[30],"[38, 30]"
158,[30],"[38, 30]"
159,[30],"[38, 30]"
160,[30],"[38, 30]"
161,[30],"[38, 30]"
162,[30],"[38, 30]"
163,[30],"[38, 30]"
164,[30],"[38, 30]"
165,[30],"[38, 30]"
166,[30],"[38, 30]"
167,[30],"[38, 30]"
168,[30],"[38, 30]"
169,[25],"[25, 12]"
170,[25],"[25, 12]"
171,[25],"[25, 12]"
172,[25],"[25, 12]"
173,[25],"[25, 12]"
174,[25],"[25, 12]"
175,[25],"[25, 12]"
176,[25],"[25, 12]"
177,[25],"[25, 12]"
178,[25],"[25, 12]"
179,[25],"[25, 12]"
181,[27],"[27, 12]"
182,[27],"[27, 12]"
183,[27],"[27, 12]"
184,[27],"[27, 12]"
185,"[27, 76]","[10, 27, 12, 76]"
188,[17],[17]
189,[17],[17]
190,[17],[17]
191,[17],[17]
192,[17],[17]
193,[17],[17]
194,[17],[17]
195,[17],[17]
196,[17],[17]
197,[17],[17]
198,[17],[17]
199,[17],[17]
200,[17],[17]
201,[17],[17]
202,[17],[17]
203,[17],[17]
204,[17],[17]
205,[17],[17]
206,[17],[17]
207,[17],[17]
208,[17],[17]
